area_type,location,size,total_sqft,price,category,availability
Super built-up  Area,Akshaya Nagar,3 BHK,1250,4000000,Urban,Ready To Move
Plot  Area,Brookefield,3 Bedroom,1200,14000000,Rural,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1140,5600000,Rural,Ready To Move
Super built-up  Area,Lingadheeranahalli,3 BHK,1683,10900000,Urban,Ready To Move
Super built-up  Area,Kaggadasapura,3 BHK,1515,8330000,Urban,19-Dec
Super built-up  Area,Hoodi,4 BHK,2118,11100000,Rural,Ready To Move
Built-up  Area,Bannerghatta Road,4 Bedroom,1380,5800000,Urban,Ready To Move
Super built-up  Area,Varthur Road,2 BHK,1083,6175000,Urban,Ready To Move
Plot  Area,Anjappa Layout,2 Bedroom,600,5500000,Urban,Ready To Move
Built-up  Area,Avalahalli,3 BHK,2300,12000000,Urban,Ready To Move
Super built-up  Area,Prakruthi Nagar,2 BHK,1240,6000000,Urban,Ready To Move
Super built-up  Area,Surabhi Layout,3 BHK,1750,12000000,Urban,18-Apr
Super built-up  Area,Sadaramangala,2 BHK,1230,4348000,Rural,17-Aug
Plot  Area,Anjanapura,3 Bedroom,1500,13900000,Urban,Ready To Move
Super built-up  Area,Abbigere,2 BHK,985,4039000,Rural,Ready To Move
Plot  Area,Tindlu,3 Bedroom,1500,8700000,Rural,18-Dec
Built-up  Area,Electronic City,2 BHK,1125,3249000,Rural,Ready To Move
Built-up  Area,Maruthi Sevanagar,2 BHK,950,4400000,Urban,18-Dec
Super built-up  Area,JP Nagar,5 BHK,4400 - 6800,54850000,Urban,Ready To Move
Super built-up  Area,Kothanur,3 BHK,1580,7600000,Rural,Ready To Move
Plot  Area,B Narayanapura,3 Bedroom,1092,9850000,Urban,18-Jul
Built-up  Area,Electronic City Phase II,2 BHK,1090,2834000,Urban,19-Mar
Built-up  Area,Hennur Road,3 Bedroom,2264,15900000,Urban,19-Aug
Super built-up  Area,Dommasandra,3 BHK,1033,2553000,Rural,18-Apr
Super built-up  Area,Kammasandra,2 BHK,810,2450000,Rural,Ready To Move
Super built-up  Area,Green Garden Layout,2 BHK,1045,4500000,Urban,18-Sep
Super built-up  Area,Hebbal,2 BHK,1337,8200000,Rural,Ready To Move
Super built-up  Area,Chandapura,2 BHK,1200,3200000,Urban,Ready To Move
Super built-up  Area,Koramangala,3 BHK,1580,16000000,Rural,Ready To Move
Super built-up  Area,Begur Road,3 BHK,1500,5400000,Urban,18-Sep
Super built-up  Area,Whitefield,3 BHK,1640,9100000,Rural,Ready To Move
Super built-up  Area,Silver Springs Layout,3 BHK,1570,6200000,Urban,Ready To Move
Super built-up  Area,Gubbalala,3 BHK,1470,8200000,Rural,Ready To Move
Super built-up  Area,Kengeri,2 BHK,1160,4061000,Rural,Ready To Move
Built-up  Area,7th Phase JP Nagar,2 BHK,1050,7100000,Urban,20-Jun
Super built-up  Area,Dairy Circle,3 BHK,1855,22500000,Rural,Ready To Move
Super built-up  Area,Bannerghatta Road,3 BHK,1460,9000000,Urban,Ready To Move
Built-up  Area,Hulimavu,3 BHK,1823,10000000,Rural,Ready To Move
Super built-up  Area,Electronic City,2 BHK,1094,4200000,Rural,Ready To Move
Super built-up  Area,Budigere,2 BHK,1153,5700000,Rural,Ready To Move
Built-up  Area,Hoysalanagar,3 BHK,1325,5700000,Urban,Ready To Move
Plot  Area,Parappana Agrahara,4 Bedroom,1200,8500000,Urban,Ready To Move
Built-up  Area,Jakkur,3 BHK,1590,12500000,Rural,Ready To Move
Plot  Area,Jeevan bima nagar,5 Bedroom,1210,16000000,Urban,Ready To Move
Plot  Area,Raja Rajeshwari Nagar,4 Bedroom,1200,22000000,Urban,Ready To Move
Super built-up  Area,Narayana Nagar 1st Block,2 BHK,1202,4800000,Urban,Ready To Move
Built-up  Area,Haralur Road,2 BHK,1202,5300000,Urban,Ready To Move
Super built-up  Area,KSRTC Layout,2 BHK,1200,6250000,Urban,18-Feb
Super built-up  Area,Panathur,3 BHK,1688,11800000,Rural,Ready To Move
Built-up  Area,Kaval Byrasandra,2 BHK,1020,5200000,Rural,Ready To Move
Super built-up  Area,Sarjapur,2 BHK,1185,4700000,Rural,17-Oct
Super built-up  Area,Ramagondanahalli,2 BHK,1235,5204000,Urban,Ready To Move
Super built-up  Area,Hosakerehalli,4 BHK,3205,50000000,Urban,Ready To Move
Super built-up  Area,Banashankari,2 BHK,1077,3764000,Rural,Ready To Move
Super built-up  Area,Kengeri Satellite Town,3 BHK,1415,6600000,Urban,18-Apr
Super built-up  Area,EPIP Zone,3 BHK,2330,16200000,Rural,Ready To Move
Super built-up  Area,Whitefield,2 BHK,805,3500000,Rural,Ready To Move
Built-up  Area,P&T Colony,1 BHK,425,2003000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1155,5995000,Rural,Ready To Move
Super built-up  Area,Cunningham Road,4 BHK,5270,125000000,Urban,Ready To Move
Super built-up  Area,Anekal,2 BHK,656,2200000,Rural,Ready To Move
Built-up  Area,New Gurappana Palya,2 BHK,1100,4800000,Rural,Ready To Move
Super built-up  Area,Mahadevpura,2 BHK,1150,5200000,Urban,Ready To Move
Plot  Area,Chelekare,1 Bedroom,600,6000000,Rural,Ready To Move
Super built-up  Area,Ambedkar Colony,2 BHK,1468,14000000,Urban,Ready To Move
Plot  Area,Palanahalli,4 Bedroom,4300,55000000,Urban,18-Dec
Super built-up  Area,Whitefield,3 BHK,2280,12600000,Rural,Ready To Move
Super built-up  Area,Hegde Nagar,2 BHK,1341,9700000,Urban,Ready To Move
Super built-up  Area,Jakkur,2 BHK,1279,7700000,Rural,18-Dec
Super built-up  Area,Electronic City Phase II,4 BHK,2225,9888000,Urban,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1185,4351000,Rural,Ready To Move
Super built-up  Area,Vadarpalya,3 BHK,1750,8500000,Rural,Ready To Move
Super built-up  Area,Kudlu,2 BHK,1152,5350000,Rural,Ready To Move
Plot  Area,Shivanagar,5 Bedroom,1000,16000000,Urban,Ready To Move
Super built-up  Area,Hulimavu,2 BHK,1300,3600000,Rural,18-Nov
Plot  Area,Varthur Road,4 Bedroom,2760,15500000,Urban,18-Aug
Super built-up  Area,5th Phase JP Nagar,2 BHK,1070,3900000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,2 BHK,1101,4500000,Urban,Ready To Move
Super built-up  Area,V.V Puram,2 BHK,775,5500000,Urban,Ready To Move
Super built-up  Area,Yeshwanthpur,1 BHK,667,3685000,Rural,Ready To Move
Super built-up  Area,Electronic City,2 BHK,1070,5500000,Rural,Ready To Move
Built-up  Area,Old Airport Road,3 BHK,1875,11000000,Urban,Ready To Move
Super built-up  Area,Kundalahalli,2 BHK,735,5799000,Urban,Ready To Move
Plot  Area,Sarjapur,5 Bedroom,4360,9000000,Rural,Ready To Move
Super built-up  Area,Koramangala,3 BHK,1750,13000000,Rural,Ready To Move
Super built-up  Area,Marathahalli,2 BHK,1215,6700000,Urban,Ready To Move
Plot  Area,Sector 3 HSR Layout,9 Bedroom,600,19000000,Urban,Ready To Move
Super built-up  Area,Vishwapriya Layout,2 BHK,820,3000000,Urban,20-Dec
Super built-up  Area,Banashankari Stage VI,2 BHK,1160 - 1195,5993500,Rural,Ready To Move
Super built-up  Area,Battarahalli,3 BHK,1779,8961000,Urban,Ready To Move
Built-up  Area,HMT Layout,2 BHK,1105,5800000,Urban,Ready To Move
Built-up  Area,Basavanagara,1 BHK,1000Sq. Meter,9300000,Urban,Ready To Move
Super built-up  Area,Whitefield,3 BHK,1650,6000000,Rural,Ready To Move
Super built-up  Area,Jalahalli,2 BHK,1694,15000000,Urban,Ready To Move
Super built-up  Area,Hosakerehalli,3 BHK,2376,20300000,Urban,Ready To Move
Super built-up  Area,Cox Town,3 BHK,1975,15000000,Urban,Ready To Move
Super built-up  Area,Kammasandra,2 BHK,674,3300000,Rural,Ready To Move
Super built-up  Area,Kaggadasapura,2 BHK,1185,4100000,Urban,Ready To Move
Super built-up  Area, Thanisandra,1 RK,445,2800000,Rural,Ready To Move
Built-up  Area,Mylasandra,6 Bedroom,900,7600000,Rural,Ready To Move
Super built-up  Area,HSR Layout,3 BHK,1475,7500000,Urban,Ready To Move
Super built-up  Area,Gottigere,3 BHK,1618,8250000,Rural,Ready To Move
Super built-up  Area,Koramangala,2 BHK,1120,6500000,Rural,Ready To Move
Super built-up  Area,Marathahalli,4 BHK,2181,15200000,Urban,Ready To Move
Plot  Area,Vidyaranyapura,4 Bedroom,1200,9000000,Urban,Ready To Move
Plot  Area,Nagondanahalli,6 Bedroom,600,6500000,Urban,18-Oct
Super built-up  Area,Bannerghatta Road,3 BHK,1556,5913000,Urban,19-Feb
Super built-up  Area,Bannerghatta Road,2 BHK,1179,6602000,Urban,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1296,8300000,Rural,Ready To Move
Built-up  Area,Kaggadasapura,2 BHK,1275,5200000,Urban,Ready To Move
Built-up  Area,Kalasipalya,7 Bedroom,1875,30000000,Rural,Ready To Move
Super built-up  Area,Kathriguppe,3 BHK,1400,7700000,Rural,Ready To Move
Super built-up  Area,Gottigere,2 BHK,1222,6300000,Rural,Ready To Move
Super built-up  Area,Electronic City,2 BHK,940,4100000,Rural,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1185,4260000,Rural,Ready To Move
Super built-up  Area,Tumkur Road,3 BHK,1779,11200000,Urban,Ready To Move
Super built-up  Area,Begur Road,3 BHK,1615,5976000,Urban,18-Dec
Super built-up  Area,JP Nagar,4 BHK,4000 - 5249,45300000,Urban,Ready To Move
Super built-up  Area,Haralur Road,2 BHK,1056,6100000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,2 BHK,1100,4600000,Urban,Ready To Move
Built-up  Area,Arekere,2 BHK,920,4000000,Rural,Ready To Move
Super built-up  Area,ITI Layout,3 BHK,1602,7500000,Urban,Ready To Move
Built-up  Area,Padmanabhanagar,2 BHK,1176,6200000,Urban,Ready To Move
Plot  Area,HBR Layout,4 Bedroom,675,5900000,Urban,Ready To Move
Super built-up  Area,Richmond Town,3 BHK,1352,13500000,Urban,Ready To Move
Built-up  Area,Kasavanhalli,3 BHK,1717,9900000,Urban,18-Apr
Plot  Area,4 Bedroom Farm House in Bagalur,4 Bedroom,10961,8000000,Rural,18-Jul
Super built-up  Area,Bhoganhalli,4 BHK,2119,11100000,Urban,Ready To Move
Super built-up  Area,Vittasandra,2 BHK,1246,6730000,Rural,17-Jul
Super built-up  Area,Anandapura,2 BHK,1141,4279000,Urban,Ready To Move
Built-up  Area,Hennur Road,2 BHK,1157,8400000,Urban,18-Aug
Super built-up  Area,Chandapura,2 BHK,1025,2768000,Urban,Ready To Move
Built-up  Area,Yelahanka New Town,1 BHK,650,3300000,Urban,Ready To Move
Super built-up  Area,Hebbal,2 BHK,1349,9800000,Rural,Ready To Move
Super built-up  Area,Narayanapura,3 BHK,1566,8330000,Urban,Ready To Move
Super built-up  Area,Sahakara Nagar,4 BHK,2830,19500000,Urban,18-Dec
Built-up  Area,Electronic City,3 BHK,1320,3813000,Rural,18-Nov
Super built-up  Area,manyata park,3 BHK,1780,8483000,Rural,Ready To Move
Super built-up  Area,Varthur,2 BHK,1091,3490000,Rural,Ready To Move
Super built-up  Area,Rachenahalli,4 BHK,3670,30000000,Urban,Ready To Move
Built-up  Area,7th Phase JP Nagar,2 BHK,918,5049000,Urban,20-Dec
Super built-up  Area,Yeshwanthpur,4 BHK,1950,13000000,Rural,Ready To Move
Super built-up  Area,Panathur,3 BHK,1695,9000000,Rural,Ready To Move
Super built-up  Area,Yelahanka,3 BHK,1705,9500000,Rural,Ready To Move
Built-up  Area,Kalyan nagar,3 BHK,1375,7500000,Urban,21-Oct
Super built-up  Area,Kanakpura Road,1 BHK,525,3000000,Urban,20-Dec
Built-up  Area,Whitefield,2 BHK,1447,8300000,Rural,Ready To Move
Super built-up  Area,Thanisandra,2 BHK,1114,3900000,Rural,Ready To Move
Super built-up  Area,7th Phase JP Nagar,3 BHK,1450,10000000,Urban,Ready To Move
Super built-up  Area,Belathur,2 BHK,460,1500000,Rural,Ready To Move
Built-up  Area,Vasanthapura,2 BHK,1022,4000000,Urban,Ready To Move
Built-up  Area,Hebbal,2 BHK,1000,4500000,Rural,18-Apr
Super built-up  Area,Electronic City,2 BHK,1128,6875000,Rural,18-May
Super built-up  Area,Kanakpura Road,2 BHK,1180,5700000,Urban,Ready To Move
Built-up  Area,TC Palaya,6 Bedroom,1000,6900000,Rural,Ready To Move
Plot  Area,Nagarbhavi,2 Bedroom,1200,15000000,Urban,Ready To Move
Super built-up  Area,Sadashiva Nagar,3 BHK,3761,66000000,Urban,Ready To Move
Super built-up  Area,Kanakpura Road,2 BHK,1339,7500000,Urban,Ready To Move
Super built-up  Area,Yelachenahalli,3 BHK,1400,5500000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,2 BHK,1040,3952000,Urban,Ready To Move
Super built-up  Area,Kadugodi,2 BHK,1198,5800000,Rural,Ready To Move
Plot  Area,Shirdi Sai Layout,4 Bedroom,1200,9500000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,3 BHK,1691,11300000,Urban,Ready To Move
Super built-up  Area,Bisuvanahalli,3 BHK,1075,3600000,Urban,18-Jun
Super built-up  Area,1st Block Jayanagar,3 BHK,1630,19400000,Urban,18-Jun
Super built-up  Area,8th Phase JP Nagar,3 BHK,1240,4350000,Urban,22-Dec
Super built-up  Area,Bannerghatta Road,2 BHK,1115 - 1130,5893500,Urban,Ready To Move
Super built-up  Area,Mallasandra,3 BHK,1665,8658000,Rural,Ready To Move
Built-up  Area,Marathahalli,3 BHK,2489,9400000,Urban,Ready To Move
Built-up  Area,Brookefield,2 BHK,1142,7000000,Rural,Ready To Move
Super built-up  Area,Kodbisanhalli,3 BHK,1976,18400000,Urban,Ready To Move
Plot  Area,Sathya Sai Layout,4 Bedroom,5500,60000000,Urban,Ready To Move
Super built-up  Area,Kothannur,3 BHK,1853,8200000,Rural,Ready To Move
Plot  Area,Vijayanagar,8 Bedroom,600,7200000,Urban,Ready To Move
Super built-up  Area,Kasturi Nagar,2 BHK,1567,9200000,Urban,Ready To Move
Super built-up  Area,Talaghattapura,2 BHK,1090,2724000,Urban,Ready To Move
Plot  Area,Raja Rajeshwari Nagar,6 Bedroom,1200,12500000,Urban,Ready To Move
Plot  Area,Indiranagar HAL 2nd Stage,4 Bedroom,2400,64000000,Urban,Ready To Move
Super built-up  Area,Electronics City Phase 1,2 BHK,1175,5147000,Urban,Ready To Move
Built-up  Area,Subramanyapura,2 BHK,1200,5200000,Urban,Ready To Move
Built-up  Area,Kodichikkanahalli,2 BHK,995,4100000,Urban,Ready To Move
Super built-up  Area,Magadi Road,2 BHK,884,4110000,Urban,Ready To Move
Plot  Area,Vishwanatha Nagenahalli,5 Bedroom,900,8000000,Urban,Ready To Move
Built-up  Area,Yeshwanthpur,2 BHK,1170,5700000,Rural,Ready To Move
Super built-up  Area,KR Puram,2 BHK,1225,4655000,Urban,18-Apr
Super built-up  Area,Electronic City,2 BHK,1342,7330000,Rural,19-Dec
Built-up  Area,Uttarahalli,2 BHK,1345,6700000,Urban,Ready To Move
Built-up  Area,Kodigehaali,3 BHK,1320,6500000,Rural,Ready To Move
Super built-up  Area,Singapura Village,2 BHK,1100Sq. Yards,4500000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1140,4939000,Urban,Ready To Move
Super built-up  Area,Battarahalli,2 BHK,1300,5000000,Urban,Ready To Move
Super built-up  Area,Hosa Road,3 BHK,1652,8500000,Urban,Ready To Move
Super built-up  Area,Thigalarapalya,3 BHK,2072,14200000,Rural,Ready To Move
Built-up  Area,Arekere,3 BHK,1740,9500000,Rural,Ready To Move
Super built-up  Area,Electronic City,3 BHK,1360,7100000,Rural,Ready To Move
Super built-up  Area,Hosur Road,3 BHK,1145,6000000,Urban,Ready To Move
Built-up  Area,Uttarahalli,3 BHK,1540,4000000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,2 BHK,1278,9500000,Urban,18-May
Super built-up  Area,Electronic City Phase II,1 BHK,630,4000000,Urban,21-Jan
Super built-up  Area,Kanakpura Road,3 BHK,1100,5800000,Urban,Ready To Move
Plot  Area,Bendiganahalli,3 Bedroom,1200,9500000,Urban,Ready To Move
Built-up  Area,Hosakerehalli Layout,7 Bedroom,2500,11500000,Urban,18-Jun
Super built-up  Area,Chandapura,1 BHK,520 - 645,1513500,Urban,18-Sep
Super built-up  Area,Chandapura,2 BHK,1015,2588000,Rural,Ready To Move
Built-up  Area,Hosur Road,5 Bedroom,3300,24000000,Urban,Ready To Move
Plot  Area,Basaveshwara Nagar,5 Bedroom,4500,41500000,Urban,Ready To Move
Super built-up  Area,Gunjur,3 BHK,1356,6600000,Urban,Ready To Move
Super built-up  Area,Hennagara,2 BHK,823,2800000,Rural,Ready To Move
Plot  Area,TC Palaya,3 Bedroom,1200,6600000,Urban,Ready To Move
Built-up  Area,Ramamurthy Nagar,2 BHK,1050,3700000,Urban,Ready To Move
Super built-up  Area,Ferrar Nagar,2 BHK,1180,6900000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1116,5191000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,2 BHK,1070,4279000,Urban,17-Mar
Super built-up  Area,Varthur,2 BHK,1385,8000000,Urban,Ready To Move
Plot  Area,Varthur,1 Bedroom,1000,7000000,Urban,18-Feb
Built-up  Area,Whitefield,3 BHK,1897,13000000,Urban,18-Aug
Super built-up  Area,Magadi Road,2 BHK,1005,5578000,Urban,Ready To Move
Super built-up  Area,Green Glen Layout,3 BHK,1575,12500000,Urban,Ready To Move
Super built-up  Area,Subramanyapura,2 BHK,975,6500000,Urban,Ready To Move
Super built-up  Area,Hennur Road,3 BHK,1904,12000000,Urban,Ready To Move
Super built-up  Area,Kengeri Satellite Town,1 BHK,930,3000000,Urban,21-Dec
Super built-up  Area,Kanakpura Road,1 BHK,525,2600000,Urban,Ready To Move
Super built-up  Area,BAGUR,1 BHK,686,1700000,Rural,Ready To Move
Plot  Area,Electronic City Phase II,2 Bedroom,2400,15000000,Urban,Ready To Move
Plot  Area,8th block Koramangala,2 Bedroom,1410,23300000,Urban,18-Apr
Built-up  Area,Sarjapur  Road,3 Bedroom,2238,14000000,Urban,Ready To Move
Super built-up  Area,Harlur,2 BHK,1174,6900000,Urban,Ready To Move
Built-up  Area,Thubarahalli,4 Bedroom,3800,23900000,Urban,Ready To Move
Super built-up  Area,Whitefield,3 BHK,2225,12500000,Urban,Ready To Move
Super built-up  Area,M.G Road,2 BHK,1250,20000000,Urban,Ready To Move
Super built-up  Area,Jigani,2 BHK,918,5200000,Rural,Ready To Move
Super built-up  Area,Mahadevpura,2 BHK,1250,5200000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,3 BHK,1800,11000000,Urban,Ready To Move
Built-up  Area,Marathahalli,2 BHK,1170,5300000,Urban,Ready To Move
Super built-up  Area,Byatarayanapura,1 BHK,1300,20000000,Urban,Ready To Move
Built-up  Area,Bannerghatta Road,2 BHK,793,4500000,Urban,Ready To Move
Super built-up  Area,Jakkur,3 BHK,1710,10700000,Urban,Ready To Move
Super built-up  Area,Kambipura,3 BHK,1082,5750000,Rural,18-Mar
Super built-up  Area,Naganathapura,2 BHK,1001,3303000,Urban,Ready To Move
Built-up  Area,Srinivasa Nagar,4 Bedroom,1500,18000000,Urban,Ready To Move
Super built-up  Area,Yelahanka,3 BHK,1590,5400000,Urban,Ready To Move
Super built-up  Area,Basavanagara,3 BHK,2400,8000000,Urban,Ready To Move
Super built-up  Area,Horamavu Banaswadi,3 BHK,1554,5500000,Urban,18-Dec
Super built-up  Area,Thanisandra,2 BHK,1000 - 1285,4341500,Urban,Ready To Move
Super built-up  Area,Bellandur,5 BHK,4239,42300000,Urban,Ready To Move
Built-up  Area,Konanakunte,2 Bedroom,884,5800000,Urban,19-Mar
Super built-up  Area,Hosa Road,2 BHK,1045,9889000,Urban,Ready To Move
Super built-up  Area,Marathahalli,2 BHK,1019,4986000,Urban,Ready To Move
Super built-up  Area,Ambedkar Nagar,3 BHK,1935,13000000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,3 BHK,1135,3973000,Urban,Ready To Move
Super built-up  Area,Lakshminarayana Pura,3 BHK,1680,15000000,Urban,19-Jun
Super built-up  Area,Hebbal,4 BHK,2470,24700000,Urban,Ready To Move
Super built-up  Area,1st Phase JP Nagar,4 BHK,2825,25000000,Urban,Ready To Move
Super built-up  Area,Hosakerehalli,3 BHK,2480,33000000,Urban,Ready To Move
Plot  Area,5th Phase JP Nagar,9 Bedroom,1260,29000000,Urban,Ready To Move
Plot  Area,Ramamurthy Nagar,5 Bedroom,1800,18700000,Urban,Ready To Move
Built-up  Area,Kasavanhalli,3 BHK,1799,9000000,Urban,Ready To Move
Super built-up  Area,Whitefield,4 Bedroom,3606 - 5091,30400000,Urban,Ready To Move
Built-up  Area,Attibele,1 BHK,400,1100000,Rural,18-Mar
Built-up  Area,Kundalahalli,2 BHK,1047,8200000,Urban,Ready To Move
Super built-up  Area,Kaverappa Layout,2 BHK,1282,8700000,Urban,Ready To Move
Super built-up  Area,NGR Layout,2 BHK,1020,4590000,Urban,Ready To Move
Plot  Area,Kammanahalli,4 Bedroom,1080,15500000,Urban,Ready To Move
Super built-up  Area,Whitefield,2 BHK,1495,7950000,Urban,Ready To Move
Built-up  Area,Kasavanhalli,4 Bedroom,3260,24000000,Urban,17-Oct
Super built-up  Area,Divya Unnathi Layout,3 BHK,1611,6444000,Urban,Ready To Move
Super built-up  Area,Koramangala,4 BHK,3500,42500000,Urban,Ready To Move
Built-up  Area,Vasantha Vallabha Nagar,3 Bedroom,1500,9500000,Urban,Ready To Move
Super built-up  Area,Sahakara Nagar,3 BHK,1500,9500000,Urban,Ready To Move
Plot  Area,Yelahanka,4 Bedroom,3206,27000000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,3 BHK,1540,5000000,Urban,18-May
Super built-up  Area,Hosa Road,3 BHK,1639,8000000,Urban,Ready To Move
Plot  Area,Marathahalli,4 Bedroom,700,7200000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,2 BHK,1303,5579000,Urban,Ready To Move
Super built-up  Area,Koramangala,2 BHK,1005,11000000,Urban,Ready To Move
Super built-up  Area,Kammasandra,1 BHK,650 - 665,1841000,Rural,18-Oct
Super built-up  Area,Chandapura,3 BHK,1305,3328000,Rural,Ready To Move
Plot  Area,Kothannur,3 Bedroom,600,9500000,Urban,Ready To Move
Super built-up  Area,sapthagiri Layout,2 BHK,1300,11500000,Urban,Ready To Move
Super built-up  Area,Brookefield,3 BHK,1440,6800000,Urban,18-Dec
Super built-up  Area,Seegehalli,2 BHK,901,3514000,Urban,Ready To Move
Super built-up  Area,Rajaji Nagar,3 BHK,1725,20000000,Urban,Ready To Move
Built-up  Area,Sarjapur,3 BHK,900,4200000,Urban,Ready To Move
Super built-up  Area,BEML Layout,2 BHK,1060,5500000,Urban,Ready To Move
Super built-up  Area,NGR Layout,2 BHK,1020,4845000,Urban,20-Dec
Super built-up  Area,Varthur,3 BHK,1535,6599000,Urban,Ready To Move
Built-up  Area,Alur,1 BHK,530,2000000,Rural,Ready To Move
Super built-up  Area,Haralur Road,3 BHK,1464,5600000,Urban,Ready To Move
Super built-up  Area,Devarabisanahalli,2 BHK,1350,8000000,Urban,Ready To Move
Super built-up  Area,Sarjapur  Road,2 BHK,1115,5000000,Urban,Ready To Move
Super built-up  Area,Uttarahalli,2 BHK,1175,4700000,Urban,Ready To Move
Built-up  Area,Whitefield,2 BHK,1113,6200000,Urban,Ready To Move
Plot  Area,Uttarahalli,6 Bedroom,1200,22500000,Urban,Ready To Move
Plot  Area,Ramamurthy Nagar,5 Bedroom,1640,24000000,Urban,Ready To Move
Built-up  Area,Giri Nagar,2 BHK,650,4200000,Urban,Ready To Move
Super built-up  Area,Marathahalli,2 BHK,1325,7155000,Urban,Ready To Move
Built-up  Area,Electronics City Phase 1,2 BHK,950,3100000,Urban,18-Apr
Super built-up  Area,Jakkur,3 BHK,1396,8651000,Urban,Ready To Move
Super built-up  Area,Rachenahalli,2 BHK,1050,5207000,Urban,Ready To Move
Super built-up  Area,Thanisandra,3 BHK,1825,10000000,Urban,Ready To Move
Super built-up  Area,7th Phase JP Nagar,2 BHK,1190,4998000,Urban,Ready To Move
Super built-up  Area,Marathahalli,2 BHK,1220,5650000,Urban,Ready To Move
Super built-up  Area,NRI Layout,3 BHK,1565,7500000,Urban,Ready To Move
Super built-up  Area,Hennur Road,3 BHK,1891,10900000,Urban,Ready To Move
Built-up  Area,Sidedahalli,2 BHK,900,2700000,Urban,18-Jul
Super built-up  Area,Hosa Road,2 BHK,1161,5515000,Urban,Ready To Move
Super built-up  Area,Sarjapur,1 BHK,633 - 666,1753500,Urban,Ready To Move
Plot  Area,Dwarka Nagar,8 Bedroom,2400,12500000,Urban,Ready To Move
Plot  Area,Rajaji Nagar,4 Bedroom,315,9000000,Urban,Ready To Move
Super built-up  Area,Yeshwanthpur,1 BHK,665,3685000,Urban,19-Jan
Super built-up  Area,Mysore Road,2 BHK,1175,7350000,Urban,Ready To Move
Built-up  Area,Hoodi,2 BHK,1425,8000000,Urban,Ready To Move
Plot  Area,Chikkabanavar,1 Bedroom,1200,2000000,Rural,18-Aug
Plot  Area,ITPL,3 Bedroom,1200,5612000,Urban,Ready To Move
Built-up  Area,Somasundara Palya,2 BHK,1255,6700000,Urban,Ready To Move
Super built-up  Area,Hegde Nagar,3 BHK,2112.95,14500000,Urban,Ready To Move
Super built-up  Area,Raja Rajeshwari Nagar,1 BHK,600,2200000,Urban,18-Jul
Super built-up  Area,Haralur Road,3 BHK,1810,10000000,Urban,Ready To Move
Super built-up  Area,Indira Nagar,2 BHK,1200,9300000,Urban,Ready To Move
Super built-up  Area,Harlur,2 BHK,1033,4900000,Rural,Ready To Move
Super built-up  Area,ITPL,3 BHK,1548,8950000,Urban,18-May
Super built-up  Area,Horamavu Banaswadi,3 BHK,1611,6600000,Urban,18-Jul
Built-up  Area,Electronic City Phase II,3 BHK,1400,4043000,Urban,Ready To Move
Super built-up  Area,Vidyaranyapura,3 BHK,1485,6700000,Urban,Ready To Move
Built-up  Area,Margondanahalli,2 Bedroom,2400,8200000,Urban,Ready To Move
Super built-up  Area,Pattandur Agrahara,2 BHK,1025,4450000,Urban,Ready To Move
Plot  Area,Thurahalli,4 Bedroom,600,6500000,Urban,Ready To Move
Super built-up  Area,Hallehalli,2 BHK,1225,5300000,Urban,Ready To Move
Built-up  Area,5th Phase JP Nagar,2 BHK,1256,6280000,Urban,Ready To Move
Super built-up  Area,Whitefield,4 BHK,2268,16300000,Urban,21-Dec
Super built-up  Area,Kanakpura Road,3 BHK,1100,5300000,Urban,Ready To Move
Super built-up  Area,Vadarpalya,2 BHK,1141,6200000,Urban,Ready To Move
Built-up  Area,Attibele,1 BHK,400,1200000,Rural,Ready To Move
Plot  Area,Chandapura,2 Bedroom,1400,6000000,Urban,Ready To Move
Super built-up  Area,Kattigenahalli,7 BHK,4100,14000000,Urban,18-Mar
Plot  Area,Marathi Layout,1 Bedroom,5.31Acres,11000000,Urban,Ready To Move
Carpet  Area,Weavers Colony,1 BHK,15,3000000,Urban,Ready To Move
Super built-up  Area,Raghavendra Nagar,2 BHK,1175,4827000,Urban,Ready To Move
Super built-up  Area,Sahakara Nagar,2 BHK,1100,5600000,Urban,Ready To Move
Super built-up  Area,Kanakpura Road,3 BHK,1843,9584000,Urban,Ready To Move
Plot  Area,1st Phase JP Nagar,8 Bedroom,1200,24000000,Urban,19-Dec
